마케팅팀,대리점코드,대리점명,매장코드,매장명,지원매장구분,MC Info,매장상세유형,매장특성구분,매장평수,주소,개설일
서대구마케팅팀,D33606,메트로대리점,D336060034,메트로대리점 논공점,자가매장,,외부위탁_운영,TPS 2.0,20,"대구 달성군 논공읍 논공로 742-1, 1층",2021-02-24
서대구마케팅팀,D33606,메트로대리점,D336060035,메트로대리점 칠곡3지구점,자가매장,,외부위탁_운영,TPS 2.0,30,"대구 북구 구암로65길 2, 대구 광역시 북구 구암동 784-5",2022-06-21
서대구마케팅팀,D33606,메트로대리점,D336060036,메트로대리점 지산점,투자매장,MC00094366,직영매장,T world cafe,54,대구 수성구 용학로 200 (지산동),2022-12-12
서대구마케팅팀,D33606,메트로대리점,D336060037,메트로대리점 평리점,자가매장,,외부위탁_운영,T world 2.0,16,"대구 서구 국채보상로50길 20, 상가동 104호(평리동,평리푸르지오)",2023-01-20
서대구마케팅팀,D33631,퓨쳐대리점,D336310002,퓨쳐대리점 본점,자가매장,,직영매장,,26,"대구 수성구 수성로 400, 108호 (수성동4가,수성우방팔레스상가) (지하철 대구은행역)",2010-09-24
서대구마케팅팀,D33660,챌린저,D336600000,챌린저대리점 본점,자가매장,,외부위탁_운영,T Premium Store,80,"대구 동구 아양로 200, 1층 (효목동,성원빌딩)",2013-01-18
서대구마케팅팀,D33660,챌린저,D336600003,챌린저대리점 매천점,자가매장,,외부위탁_운영,,17,"대구 북구 매전로4길 41, (매천동)",2013-01-18
서대구마케팅팀,D33660,챌린저,D336600006,챌린저 소매사무실,자가매장,,,,88,"대구 동구 아양로 200 (효목동,성원빌딩)1층 102호",2013-01-18
서대구마케팅팀,D33660,챌린저,D336600008,챌린저대리점 죽전점,자가매장,,외부위탁_운영,T world cafe,35,"대구 달서구 달구벌대로 1530, 301동 115호(감삼동,브리티시용산)",2013-05-24
서대구마케팅팀,D33660,챌린저,D336600009,챌린저대리점 상인점,자가매장,,외부위탁_운영,T world 2.0,14,"대구 달서구 상인서로 46, 110동 101호 (상인동,상인서한타운)",2013-06-07
서대구마케팅팀,D33660,챌린저,D336600012,챌린저대리점 송현점,자가매장,,외부위탁_운영,T world 2.0,28,"대구 달서구 학산로 204 (송현동,대영전자총판)",2015-02-13
서대구마케팅팀,D33660,챌린저,D336600015,챌린저대리점 신서점,자가매장,,외부위탁_운영,T world 2.0,33,대구 동구 경안로 848 101호(각산동),2015-12-28
서대구마케팅팀,D33660,챌린저,D336600017,챌린저대리점 현풍점,자가매장,,외부위탁_운영,T world 2.0,17,대구 달성군 유가면 테크노상업로4길 7-4 (),2016-12-05
서대구마케팅팀,D33660,챌린저,D336600021,챌린저대리점 대림점,자가매장,,외부위탁_자영,TPS 2.0,20,"대구 동구 메디밸리로 19, 107호(대림동) 1층",2020-08-13
서대구마케팅팀,D33660,챌린저,D336600022,챌린저대리점 동호점,투자매장,MC00094691,외부위탁_운영,T world 2.0,30,"대구 동구 안심로 370 (신서동,욱일빌딩)",2022-08-02
서대구마케팅팀,D33660,챌린저,D336600023,챌린저대리점 도원점,투자매장,"MC00065192 , MC00112989",외부위탁_운영,T world 2.0,25,"대구 달서구 도원로 30 (도원동,대곡프라자) 106호, 107호",2024-03-06
서대구마케팅팀,D33660,챌린저,D336600024,챌린저대리점 월촌점,자가매장,,외부위탁_운영,T world 2.0,30,"대구 달서구 월배로 323, (송현동)",2025-07-31
서대구마케팅팀,D33661,대구도원대리점,D336610007,대구도원대리점 본점,자가매장,,직영매장,T world 2.0,30,"대구 서구 서대구로 86, (평리동,승일빌딩) 1층 좌측 두번째",2019-04-01
서대구마케팅팀,D33678,프렌즈대리점,D336780002,프렌즈대리점 도매사무실,자가매장,,,,90,"대구 남구 성당로 70-1, (대명동) 2층",2014-03-21
서대구마케팅팀,D33678,프렌즈대리점,D336780004,프렌즈대리점 남산점,자가매장,,직영매장,T world 2.0,10,"대구 중구 달구벌대로 1955, 101동 (대신동,대신센트럴자이) 상가 SK텔레콤 프렌즈대리점",2014-03-21
서대구마케팅팀,D33684,일랙대리점,D336840000,일랙대리점 본점,자가매장,,직영매장,,22,"대구 달서구 송현로 46 (송현동,화랑수련원)",2014-05-01
서대구마케팅팀,D33689,Phone&Love텔레콤,D336890000,Phone&Love텔레콤 화원직영점,자가매장,,직영매장,,18,대구 달성군 화원읍 비슬로 2569-4 (),2014-07-09
서대구마케팅팀,D33717,써니 대리점,D337170000,써니 대리점 본점,자가매장,,직영매장,,15,"대구 북구 복현로 71, 상가동104호(복현동,블루밍브라운스톤명문세가1단지아파트)",2016-03-16
서대구마케팅팀,D33718,범어대리점,D337180000,범어대리점 본점,자가매장,,직영매장,,18,"대구 수성구 수성로 379 (수성동1가,SK수성빌딩)",2016-03-16
서대구마케팅팀,D33722,동행대리점,D337220002,동행대리점 도매사무실,자가매장,,,T world 2.0,27,대구 북구 유통단지로 16 (산격동) 상가 22-1동 2층 202호,2016-11-17
서대구마케팅팀,D33722,동행대리점,D337220006,동행대리점 대명점,자가매장,,외부위탁_자영,T world 2.0,25,"대구 남구 대명로 56, (대명동,S.K텔레콤)",2016-11-17
서대구마케팅팀,D33727,백색대리점,D337270000,백색대리점 본점,자가매장,,외부위탁_운영,TPS 2.0,40,"대구 달서구 상화북로 193, (상인동,송재빌딩)SK텔레콤백색대리점 본점",2020-01-31
서대구마케팅팀,D33727,백색대리점,D337270002,백색대리점 파동직영점,자가매장,,직영매장,T world 2.0,33,"대구 수성구 파동로 109-1, (파동,선영빌딩)",2020-01-31
서대구마케팅팀,D33727,백색대리점,D337270003,백색대리점 봉덕직영점,자가매장,,외부위탁_운영,TPS 2.0,23,"대구 남구 신촌길 57, 403동 B101호",2021-01-18
서대구마케팅팀,D33727,백색대리점,D337270004,백색대리점 대명직영점,자가매장,,외부위탁_운영,TPS 2.0,30,대구 중구 명덕로 55 (남산동 2271-9),2022-03-07
서대구마케팅팀,D33727,백색대리점,D337270005,백색대리점 평리직영점,자가매장,,외부위탁_운영,TPS 2.0,31,"대구 서구 국채보상로 294, 엠타워 1층 (평리동)",2022-12-05
서대구마케팅팀,D33727,백색대리점,D337270006,백색대리점 칠곡직영점,투자매장,MC00082196,외부위탁_운영,T Premium Store,54,대구 북구 동천로 127 북구 동천동 902-2 1층,2023-07-13
서대구마케팅팀,D33727,백색대리점,D337270007,백색대리점 소매사무실,자가매장,,직영매장,T world smart,33,"대구 수성구 파동로 109-1, 3층 (파동) 파동 선영빌딩",2023-08-23
서대구마케팅팀,D33727,백색대리점,D337270008,백색대리점 수성직영점,자가매장,,외부위탁_운영,TPS 2.0,18,"대구 수성구 파동로 190, 상가동 001호(파동) 수성더팰리스푸르지오더샵상가101동 101호",2023-12-07
서대구마케팅팀,D33730,오르다T 대리점,D337300000,오르다T 대리점(본점),자가매장,,직영매장,T world 2.0,36,대구 달성군 화원읍 비슬로 2615 1층 오르다T 대리점,2021-08-24
동대구마케팅팀,D33105,대구북구대리점,D331050000,대구북구대리점 본점,자가매장,,직영매장,,25,대구 북구 칠성남로 23 (고성동2가),1992-12-12
동대구마케팅팀,D33105,대구북구대리점,D331050211,대구북구대리점 도매사무실,자가매장,,,,25,대구 북구 칠성남로 23 (고성동2가),2007-10-24
동대구마케팅팀,D33105,대구북구대리점,D331050224,대구북구대리점 비산점,자가매장,,외부위탁_자영,T world 2.0,37,대구 서구 북비산로 327 (비산동) 백두대장정,2012-03-12
동대구마케팅팀,D33114,경주대리점,D331140000,경주대리점 본점,자가매장,,직영매장,,15,"경북 경주시 금성로 242, (노서동)",1992-12-12
동대구마케팅팀,D33116,포항대리점,D331160000,포항대리점 본점,자가매장,,직영매장,,12,경북 포항시 남구 포스코대로 356 (대도동),1992-12-12
동대구마케팅팀,D33148,J&O대리점,D331480012,J&O대리점 강구직영점,자가매장,,외부위탁_자영,,15,경북 영덕군 강구면 동해대로 4503-1호,2002-08-26
동대구마케팅팀,D33148,J&O대리점,D331480061,J&O대리점 오천점,자가매장,,외부위탁_운영,,30,"경북 포항시 남구 오천읍 세계길 34, ()",2008-10-02
동대구마케팅팀,D33148,J&O대리점,D331480066,J&O대리점 현곡점,자가매장,,외부위탁_자영,,19,경북 경주시 현곡면 안현로 6 (),2010-08-06
동대구마케팅팀,D33148,J&O대리점,D331480071,J&O대리점 연일직영점,자가매장,,외부위탁_자영,,10,경북 포항시 남구 연일읍 철강로25번길 42 (),2011-04-28
동대구마케팅팀,D33148,J&O대리점,D331480073,J&O대리점 ICT 양덕점,자가매장,,외부위탁_운영,T world smart,48,경북 포항시 북구 양덕로44번길 2 (양덕동)1752번지,2011-11-24
동대구마케팅팀,D33148,J&O대리점,D331480075,J&O대리점 감포직영점,자가매장,,외부위탁_자영,T world 2.0,15,경북 경주시 감포읍 감포로6길 2 (),2013-04-17
동대구마케팅팀,D33148,J&O대리점,D331480079,J&O대리점 성건직영점,자가매장,,외부위탁_자영,T world smart,30,"경북 경주시 금성로395번길 3, (성건동,서라벌빌딩)",2018-10-25
동대구마케팅팀,D33148,J&O대리점,D331480080,J&O대리점 월변점,자가매장,,외부위탁_자영,T world 2.0,15,"경북 울진군 울진읍 울진중앙로 65, ()",2019-07-04
동대구마케팅팀,D33148,J&O대리점,D331480081,J&O대리점 중앙점,자가매장,,직영매장,TPS 2.0,43,"경북 포항시 북구 중앙로 243, (죽도동)",2020-07-29
동대구마케팅팀,D33169,울진동부대리점,D331690000,울진동부대리점 본점,자가매장,,직영매장,,30,경북 울진군 울진읍 울진중앙로 137 (),1995-10-23
동대구마케팅팀,D33169,울진동부대리점,D331690001,울진동부대리점 죽변점,자가매장,,직영매장,,10,경북 울진군 죽변면 죽변중앙로 157-2 (),1997-04-01
동대구마케팅팀,D33260,신영덕대리점,D332600000,신영덕대리점 본점,자가매장,,외부위탁_운영,,15,경북 영덕군 영덕읍 남석1길 45 (주연컴퓨터),1996-10-01
동대구마케팅팀,D33275,포항동양대리점,D332750000,포항동양대리점 본점,자가매장,,직영매장,,5,경북 포항시 북구 중앙로 260-1 (죽도동),1997-02-25
동대구마케팅팀,D33294,포항북부대리점,D332940000,포항북부대리점 본점,자가매장,,직영매장,,12,경북 포항시 북구 삼호로 57-2 (대신동),1997-05-12
동대구마케팅팀,D33311,경주입실대리점,D333110000,경주입실대리점 본점,자가매장,,직영매장,,20,경북 경주시 외동읍 입실로 80 (),1997-07-15
동대구마케팅팀,D33335,화금대리점,D333350000,화금대리점 본점,자가매장,,직영매장,,20,경북 포항시 남구 포스코대로 322 (상도동),1999-11-26
동대구마케팅팀,D33335,화금대리점,D333350011,화금대리점 오거리직영점,자가매장,,직영매장,,70,경북 포항시 북구 중흥로 341 (죽도동),2001-09-05
동대구마케팅팀,D33335,화금대리점,D333350013,화금대리점 상도동직영점,자가매장,,직영매장,,11,경북 포항시 남구 상공로 58 (상도동),2003-08-25
동대구마케팅팀,D33335,화금대리점,D333350031,화금대리점 도매사무실,자가매장,,,,15,경북 포항시 북구 중흥로 341 (죽도동),2007-07-20
동대구마케팅팀,D33335,화금대리점,D333350033,화금대리점 경주직영점,자가매장,,직영매장,,13,경북 경주시 원효로 117-1 (황오동),2008-06-04
동대구마케팅팀,D33335,화금대리점,D333350036,화금대리점 경주동부점,자가매장,,직영매장,,30,경북 경주시 화랑로 114-1 (동부동),2009-06-02
동대구마케팅팀,D33335,화금대리점,D333350041,화금대리점 장성점,자가매장,,직영매장,,40,경북 포항시 북구 용두산길 38 (두호동),2011-11-18
동대구마케팅팀,D33335,화금대리점,D333350042,화금대리점 해도점,자가매장,,외부위탁_자영,T world 2.0,24,경북 포항시 남구 중앙로 148 (해도동),2012-08-21
동대구마케팅팀,D33335,화금대리점,D333350045,화금대리점 ICT 이동점,자가매장,,직영매장,T world smart,30,"경북 포항시 남구 포스코대로 128 (대잠동,위더스HOF)",2012-11-27
동대구마케팅팀,D33338,청송대리점,D333380003,청송대리점 본점,자가매장,,직영매장,,7,경북 청송군 청송읍 금월로 272 (),2001-10-22
동대구마케팅팀,D33345,동해대리점,D333450000,동해대리점 본점,자가매장,,직영매장,T world 2.0,15,경북 포항시 남구 송도로 31-2 (송도동),2001-03-27
동대구마케팅팀,D33373,반야월대리점,D333730000,반야월대리점 본점,자가매장,,직영매장,,20,대구 동구 율하동로23길 3 (율하동) (주 국민은행 프라임마트 맞은편),1996-10-25
동대구마케팅팀,D33445,울진대리점,D334450000,울진대리점 본점,자가매장,,직영매장,,15,경북 울진군 울진읍 연호로 7 (),1997-06-26
동대구마케팅팀,D33502,다정대리점,D335020000,다정대리점 본점,자가매장,,직영매장,,10,경북 포항시 북구 두호로 18-1 (두호동),2003-02-06
동대구마케팅팀,D33522,이도대리점,D335220008,이도대리점 문덕직영점,자가매장,,직영매장,,36,경북 포항시 남구 오천읍 원동로 10 (),2007-10-30
동대구마케팅팀,D33557,국제,D335570000,국제대리점 중방점,자가매장,,외부위탁_운영,,35,경북 경산시 경안로 198 (중방동),2006-08-02
동대구마케팅팀,D33557,국제,D335570009,국제대리점 청도점,자가매장,,직영매장,,58,"경북 청도군 청도읍 청화로 163, 1층 (시티빌딩)",2011-02-14
동대구마케팅팀,D33558,희망,D335580002,희망대리점 경주황성점,자가매장,,직영매장,,9,경북 경주시 황성로27번길 5 (황성동),2007-03-21
동대구마케팅팀,D33576,다모아대리점,D335760010,다모아대리점 비산점,자가매장,,외부위탁_운영,,10,대구 서구 국채보상로 361 (비산동),2010-08-13
동대구마케팅팀,D33576,다모아대리점,D335760015,다모아대리점 중동점,자가매장,,외부위탁_자영,T world 2.0,18,"대구 수성구 수성로 185, 201동 115호(중동,수성골드클래스더센텀)",2022-01-14
동대구마케팅팀,D33595,대구행복,D335950000,대구행복대리점 본점,자가매장,,직영매장,,23,대구 남구 봉덕로 97 (봉덕동),2009-03-31
동대구마케팅팀,D33609,청도대리점,D336090004,청도대리점 중앙점,자가매장,,직영매장,T world 2.0,21,경북 청도군 청도읍 청화로 139 1층,2021-02-04
동대구마케팅팀,D33647,효성대리점,D336470000,효성대리점 본점,자가매장,,직영매장,,25,경북 포항시 북구 새천년대로 1045 (창포동),2011-06-30
동대구마케팅팀,D33650,독도대리점,D336500000,독도대리점 울릉본점,자가매장,,직영매장,,15,경북 울릉군 울릉읍 울릉순환로 224 (),2012-03-09
동대구마케팅팀,D33659,천연대리점,D336590000,천연대리점 본점,자가매장,,직영매장,,60,"경북 영천시 망정1길 15 (망정동,문선참기름)",2012-12-07
동대구마케팅팀,D33659,천연대리점,D336590004,천연대리점 동해점,자가매장,,직영매장,T world 2.0,12,경북 포항시 남구 동해면 약전리 436-3번지,2015-01-13
동대구마케팅팀,D33673,SM 대리점,D336730002,SM대리점 도매사무실,자가매장,,,,41,대구 수성구 수성동1가 275-6번지,2013-09-25
동대구마케팅팀,D33673,SM 대리점,D336730020,SM대리점 The나눔 양덕점,자가매장,,외부위탁_운영,TPS 2.0,36,"경북 포항시 북구 장량로189번길 11, (양덕동)",2020-05-14
동대구마케팅팀,D33673,SM 대리점,D336730021,SM대리점 압량점,자가매장,,외부위탁_운영,T world 2.0,27,"경북 경산시 압량읍 화랑로 288, ()",2021-03-10
동대구마케팅팀,D33673,SM 대리점,D336730022,SM대리점 칠곡 3지구점,투자매장,MC00129388,외부위탁_운영,T Premium Store,43,"대구 북구 동암로 96 104호, 105호(동천동)",2021-03-24
동대구마케팅팀,D33673,SM 대리점,D336730025,SM대리점 진천점,자가매장,,외부위탁_운영,T world 2.0,20,"대구 달서구 진천로18길 9, 5호(대천동)",2023-08-23
동대구마케팅팀,D33674,라온대리점,D336740003,라온대리점 도매사무실(대구),자가매장,,,T world smart,114,"대구 중구 봉산문화길 49, (봉산동) 봉성빌딩 3층",2013-10-14
동대구마케팅팀,D33674,라온대리점,D336740006,라온대리점 우현점,자가매장,,직영매장,T world 2.0,34,경북 포항시 북구 우창동로 33 우창동로 36,2014-06-27
동대구마케팅팀,D33674,라온대리점,D336740009,라온대리점 도매사무실(포항),자가매장,,,T world 2.0,34,"경북 포항시 북구 우창동로 30, 101호 (우현동) 36 SK텔레콤 우현점",2015-10-29
동대구마케팅팀,D33674,라온대리점,D336740015,라온대리점 효자점,자가매장,,직영매장,T Premium Store,42,"경북 포항시 남구 효성로 14, (효자동,태인빌딩)",2019-10-02
동대구마케팅팀,D33674,라온대리점,D336740016,라온대리점 연경점,자가매장,,직영매장,TPS 2.0,41,"대구 북구 동화천로 245, (연경동)",2020-03-10
동대구마케팅팀,D33674,라온대리점,D336740019,라온대리점 문덕점,자가매장,,외부위탁_운영,TPS 2.0,45,"경북 포항시 남구 오천읍 원동로 53, ()",2020-06-05
동대구마케팅팀,D33674,라온대리점,D336740021,라온대리점 포항센터,투자매장,MC00048324,직영매장,TPS 2.0,36,"경북 포항시 북구 중앙상가길 38, (대흥동)",2023-01-04
동대구마케팅팀,D33674,라온대리점,D336740023,라온대리점 지곡점,자가매장,,외부위탁_운영,T world 2.0,15,"경북 포항시 남구 지곡로 257, 101동 121호(지곡동) 지곡 에드빌",2023-09-13
동대구마케팅팀,D33674,라온대리점,D336740024,라온대리점 경주센터,투자매장,MC00091181,외부위탁_운영,TPS 2.0,50,경북 경주시 중앙로 47 (노동동),2023-11-27
동대구마케팅팀,D33674,라온대리점,D336740025,라온대리점 시지광장센터,투자매장,MC00080365,직영매장,TPS 2.0,20,"대구 수성구 달구벌대로 3200 (신매동,밀레니엄빌딩)",2024-12-12
동대구마케팅팀,D33679,상상대리점,D336790002,상상대리점 도매사무실,자가매장,,,,135,"대구 중구 중앙대로 390 (동성로3가,센트럴엠빌딩) 12층",2014-03-25
동대구마케팅팀,D33679,상상대리점,D336790005,상상대리점 중파직영점,자가매장,,직영매장,,34,"대구 중구 동성로 2 (동성로3가,동성로협성빌딩)",2014-03-25
동대구마케팅팀,D33679,상상대리점,D336790007,상상대리점 종로센터점,자가매장,,직영매장,T world 2.0,58,대구 중구 종로 17 (종로2가),2014-04-17
동대구마케팅팀,D33679,상상대리점,D336790011,상상대리점 방촌센터점,자가매장,,직영매장,T world 2.0,25,대구 동구 동촌로 204 (방촌동),2016-03-31
동대구마케팅팀,D33679,상상대리점,D336790018,상상대리점 월성CGV점,자가매장,,직영매장,T world 2.0,14,"대구 달서구 조암로 25, 101동 105호 (월성동,그루빌딩)",2018-03-15
동대구마케팅팀,D33679,상상대리점,D336790020,상상대리점 월서직영점,자가매장,,직영매장,T world 2.0,20,"대구 달서구 조암남로 42, 1층 111호 (월성동,트럼프스타)",2018-06-04
동대구마케팅팀,D33679,상상대리점,D336790024,상상대리점 신천직영점,자가매장,,직영매장,T world 2.0,50,"대구 동구 동부로 18-1, (신천동)",2019-03-18
동대구마케팅팀,D33679,상상대리점,D336790025,상상대리점 침산직영점,자가매장,,직영매장,T world 2.0,30,"대구 북구 침산남로 94, 101호 (침산동,다빈치타워)",2019-04-15
동대구마케팅팀,D33679,상상대리점,D336790026,상상대리점 교대직영점,자가매장,,외부위탁_운영,T world 2.0,40,"대구 남구 중앙대로 218, (대명동)",2019-05-21
동대구마케팅팀,D33679,상상대리점,D336790030,상상대리점 본점,자가매장,,직영매장,T Premium Store,70,"대구 중구 동성로1길 22, 1층 (덕산동,E.C.A.외국어학원)",2019-11-25
동대구마케팅팀,D33679,상상대리점,D336790031,상상대리점 북침산센터,자가매장,,외부위탁_운영,T Premium Store,25,"대구 북구 침산로 173, 101동 108호 (칠성동2가,시그니처빌딩)",2019-12-13
동대구마케팅팀,D33679,상상대리점,D336790034,상상대리점 시지광장센터,투자매장,MC00148186,직영매장,TPS 2.0,80,대구 수성구 달구벌대로 3206 (신매동) 1층,2021-03-10
동대구마케팅팀,D33679,상상대리점,D336790036,상상대리점 황금네거리점,투자매장,MC00122322,외부위탁_운영,T Premium Store,45,"대구 수성구 동대구로 98, (지산동,평강기업) 1층, 2층",2021-12-08
동대구마케팅팀,D33679,상상대리점,D336790037,상상대리점 범물센터,자가매장,,외부위탁_운영,T world 2.0,34,"대구 수성구 지범로 259, (범물동)",2021-12-14
동대구마케팅팀,D33679,상상대리점,D336790038,상상대리점 유천직영점,자가매장,,외부위탁_운영,T world 2.0,30,"대구 달서구 조암로 155, (대천동)",2021-12-14
동대구마케팅팀,D33679,상상대리점,D336790040,상상대리점 신월성센터,자가매장,,직영매장,T world 2.0,20,"대구 달서구 조암로 48, 1층 117호(월성동)",2022-03-22
동대구마케팅팀,D33679,상상대리점,D336790041,상상대리점 죽전역센터,자가매장,,외부위탁_운영,T world smart,30,"대구 달서구 와룡로 123, 301동 106호(감삼동,죽전역동화아이위시) 1층 코너",2022-03-23
동대구마케팅팀,D33679,상상대리점,D336790042,상상대리점 도매사무실(2),자가매장,,직영매장,T world smart,30,"대구 중구 중앙대로 390, 11층 (동성로3가)",2022-04-06
동대구마케팅팀,D33679,상상대리점,D336790043,상상대리점 장기직영점,자가매장,,직영매장,T world smart,30,"대구 달서구 장기로 243, (장기동)",2022-04-26
동대구마케팅팀,D33679,상상대리점,D336790044,상상대리점 대천점,자가매장,,외부위탁_운영,T world smart,50,"대구 달서구 진천로 120, 102동 (대천동) 상가동 102호, 103호",2022-06-13
동대구마케팅팀,D33679,상상대리점,D336790046,상상대리점 포항센터점,투자매장,MC00125070,직영매장,T Premium Store,25,"경북 포항시 북구 중앙상가길 32, (대흥동)",2023-02-16
